OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
234,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,213,Mount Keith Nickel Mine,Operational,Southern Cross Energy,,Natural Gas,,112,2,Wiluna,Western Australia,4,20130709,,-27.214583,120.547979
235,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,214,Muja C,Operational,Verve Energy,Steam Subcritical,Coal,Black Coal,400,2,Muja,Western Australia,5,20130509,12MW total from renewable fuels (wood waste)- from all Muja power stations ,-33.44604657,116.3061833
236,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,217,Worsley Cogeneration,Operational,Worsley Alumina Pty Ltd,,Natural Gas,<Null>,106,2,Worsley,Western Australia,5,20130509,,-33.2365459,116.0637377
237,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,219,Laverton (Granny Smith Gold Mine),Operational,Barrick Gold of Australia,,Distillate,,30.6,10,Laverton,Western Australia,4,20130709,,-28.809649,122.415029
238,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,220,Argyle Diamond Mine,Operational,Rio Tinto - Argyle Diamond Mines,,Distillate,,32,,Lake Argyle,Western Australia,5,20130809,,-16.716157,128.40308
239,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,221,Christmas Creek Iron Ore Mine,Operational,Contract Power Holdings,Spark Ignition Reciprocating Engine,Distillate,,58,,Newman,Western Australia,2,20171105,,-22.399,119.732
240,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,222,Jundee Gold Mine,Operational,Newmount Australia,Spark Ignition Reciprocating Engine,Natural Gas,,21,6,Wiluna,Western Australia,4,20171105,,-26.371212,120.577613
241,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,223,Murrin Murrin (Nickel Mine),Operational,Minara Resources,,Natural Gas,,78,3,Leonora,Western Australia,3,20171105,"Location needs to be corrected, not sure which building is the power station",-28.923754,121.32929
242,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,225,Plutonic Gold Mine,Operational,Barrick Gold of Australia,,Natural Gas,,28,4,Kumarina,Western Australia,4,20130709,Not sure if capacity figure is correct,-25.311002,119.450757
243,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,226,Sunrise Dam,Operational,Energy Generation / AngloGold Ashanti,Spark Ignition Reciprocating Engine,Natural Gas,Liquefied Natural Gas,28.4,24,Laverton,Western Australia,4,20130709,,-29.09268344,122.4392845
244,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,227,Wiluna Gold Mine,Operational,Apex Minerals,,Natural Gas,,21,3,Wiluna,Western Australia,3,20130709,Point at mine.  Exact location of PS unknown,-26.631568,120.251884
245,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,228,Paraburdoo (Standby),Operational,Rio Tinto Australia Pty Ltd,,Natural Gas,,20,3,Innawanga,Western Australia,4,20130709,,-23.22382354,117.6136744
246,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,230,Telfer Gold Mine,Operational,Newcrest Mining Ltd,,Natural Gas,,159,3,Telfer,Western Australia,5,20171105,,-21.712911,122.209103
247,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,231,Amcor Gawler,Operational,Energy Response,Compression Reciprocating Engine,Distillate,,4,,Kingsford,South Australia,5,20130109,,-34.550857,138.765864
248,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,234,Lonsdale,Operational,Infratil Energy Australia Pty Ltd,Compression Reciprocating Engine,Distillate,,20,18,Lonsdale,South Australia,5,20161105,Facility was moved across road and Port Stanvac PS was built on the old site,-35.10966855,138.4910068
249,Power Station,A facility used for the generation of electrical power for distribution,Renewable,236,Pedler Creek,Operational,Energy Developments LFG (SA) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,3,3,Mclaren Vale,South Australia,5,20161105,,-35.202321,138.502094
250,Power Station,A facility used for the generation of electrical power for distribution,Renewable,242,Wingfield I,Operational,Energy Developments LFG (SA) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,5,5,Wingfield,South Australia,5,20161105,,-34.83482,138.557247
251,Power Station,A facility used for the generation of electrical power for distribution,Renewable,243,Wingfield II,Operational,Energy Developments LFG (SA) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,5,5,Dry Creek,South Australia,3,20161105,,-34.832081,138.548903
252,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,244,Ladbroke Grove,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,80,2,Monbulla,South Australia,5,20130109,,-37.456673,140.782692
253,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,247,Playford B,Non-Operational,Alinta Energy,Steam Subcritical,Coal,Brown Coal,240,4,Port Paterson,South Australia,5,20161105,To be closed by March 2016,-32.539279,137.78188
254,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,248,Northern,Non-Operational,Alinta Energy,Steam Subcritical,Coal,Brown Coal,530,2,Port Paterson,South Australia,5,20161105,Being decommissioned. To be closed by August 2017,-32.54325419,137.7882042
255,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,251,Berrimah,Operational,NT Government,Gas Turbine,Natural Gas,Kerosene,10,1,Berrimah,Northern Territory,5,20130809,Originally had 2 units but Unit one retired in feb 2012 and unit two rerated to 10 MW.  Used for emergency only.,-12.426176,130.919476
256,Power Station,A facility used for the generation of electrical power for distribution,Renewable,252,Landfill Management Services Shoal Bay,Operational,LMS Energy Generation Pty Ltd,,Biogas,Landfill Methane,1.1,1,Holmes,Northern Territory,5,20130809,,-12.389174,130.925408
257,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,253,Tennant Creek,Operational,NT Government,Open Cycle Gas Turbine,Natural Gas,Distillate,16.7,,Tennant Creek,Northern Territory,5,20180611,,-19.65493,134.175285
258,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,254,Ron Goodin,Operational,NT Government,Open Cycle Gas Turbine,Natural Gas,Distillate,44.6,,Sadadeen,Northern Territory,5,20180611,,-23.709109,133.891175
259,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,255,Owen Springs,Operational,NT Government,Open Cycle Gas Turbine,Natural Gas,Distillate,36,3,Hugh,Northern Territory,4,20180611,,-23.863611,133.825487
260,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,256,Brewer,Operational,Central Energy Power,Open Cycle Gas Turbine,Natural Gas,,8.5,3,Hugh,Northern Territory,3,20180611,,-23.881698,133.828143
261,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,257,Yulara,Operational,NT Government,Open Cycle Gas Turbine,Compressed Natural Gas,Distillate,10.95,,Yulara,Northern Territory,5,20180611,,-25.232313,130.991181
262,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,258,Pine Creek,Operational,NGD (NT) / Cosmo Power,Spark Ignition Reciprocating Engine,Natural Gas,,34.76,6,Pine Creek,Northern Territory,5,20130809,3 gas fuelled turbines and 3 dual fuel turbines,-13.78561,131.862362
263,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,259,Katherine,Operational,NT Government,Open Cycle Gas Turbine,Natural Gas,Distillate,34.7,,Cossack,Northern Territory,5,20180611,,-14.458693,132.244506
264,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,262,Warrego,Operational,,,Natural Gas,,19,,Warumungu,Northern Territory,3,20180611,No details available as of 30/11/2016,-19.443393,133.823587
265,Power Station,A facility used for the generation of electrical power for distribution,Renewable,263,Condong Sugar Mill,Operational,Delta Electricity,Steam Subcritical,Biomass,Bagasse,30,1,Condong,New South Wales,5,20121109,,-28.313802,153.43411
266,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,264,Appin (Mine),Operational,Energy Developments CSM (NSW) Pty Ltd,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,55.6,54,Appin,New South Wales,5,20161105,,-34.208185,150.772181
267,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,265,Bayswater,Operational,Macquarie Generation,Steam Subcritical,Coal,Black Coal,2640,4,Muswellbrook,New South Wales,5,20121109,12MW from renewable fuels including wood waste and municipal solid waste,-32.39527,150.94913
268,Power Station,A facility used for the generation of electrical power for distribution,Renewable,266,Bendeela (Shoalhaven Scheme),Operational,Origin Energy,Hydroelectric (Pumped Storage),Water,,240,4,Kangaroo Valley,New South Wales,5,20161105,"Generating Units 2x40, 2x80",-34.73369,150.46687
269,Power Station,A facility used for the generation of electrical power for distribution,Renewable,267,Blowering,Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,70,1,Wereboldera,New South Wales,5,20121109,,-35.398601,148.246272
270,Power Station,A facility used for the generation of electrical power for distribution,Renewable,268,Broadwater,Operational,NSW Sugar Milling,Cogeneration - Steam Subcritical,Biomass,Bagasse,38,2,Broadwater,New South Wales,5,20161105,,-29.011828,153.433481
271,Power Station,A facility used for the generation of electrical power for distribution,Renewable,269,Brown Mountain,Operational,Eraring Energy,Hydroelectric (Gravity),Water,,4.95,5,Bemboka,New South Wales,5,20161105,,-36.59508977,149.4740422
272,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,270,Capral (Aluminium Smelter),Operational,Capral Ltd,,Natural Gas,,300,3,Loxford,New South Wales,3,20121109,,-32.789723,151.481305
273,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,271,Colongra,Operational,Delta Electricity,Open Cycle Gas Turbine,Natural Gas,,724,4,Colongra,New South Wales,5,20121109,,-33.209869,151.544785
274,Power Station,A facility used for the generation of electrical power for distribution,Renewable,272,EarthPower Biomass Plant,Operational,Earthpower Technologies Sydney Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Food Waste,3.9,,Camellia,New South Wales,5,20121109,Biomass (Municipal & Industrial Materials),-33.820373,151.042037
275,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,273,Eraring,Operational,Eraring Energy,Open Cycle Gas Turbine,Distillate,,41.5,1,Eraring,New South Wales,5,20161105,,-33.06174875,151.5223301
276,Power Station,A facility used for the generation of electrical power for distribution,Renewable,274,Visy Pulp and Paper Tumut,Operational,Visy Pulp & Paper,Cogeneration,Biomass,Black Liquor,20,1,Gadara,New South Wales,3,20121109,,-35.295933,148.137052
277,Power Station,A facility used for the generation of electrical power for distribution,Renewable,275,Glenbawn,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,5.8,1,Glenbawn,New South Wales,5,20161105,,-32.109661,150.998154
278,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,276,Glennies Creek,Operational,EnviroGen Pty Ltd,Reciprocating Engine,Coal Seam Methane,Gas,13,13,Middle Falbrook,New South Wales,5,20180611,,-32.459843,151.128627
279,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,277,Hunter,Operational,Infratil Energy Australia Pty Ltd,Compression Reciprocating Engine,Distillate,,29,16,Abermain,New South Wales,5,20121109,,-32.836021,151.450471
280,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,278,Hunter Valley,Operational,Macquarie Generation,Open Cycle Gas Turbine,Natural Gas,,50,2,Muswellbrook,New South Wales,4,20121109,,-32.389253,150.966396
281,Power Station,A facility used for the generation of electrical power for distribution,Renewable,279,Kangaroo Valley (Shoalhaven Scheme),Operational,Eraring Energy,Hydroelectric (Pumped Storage),Water,,160,2,Kangaroo Valley,New South Wales,5,20121109,,-34.72297,150.47953
282,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,280,Liddell,Operational,Macquarie Generation,Steam Subcritical,Coal,Black Coal,2200,4,Muswellbrook,New South Wales,5,20161105,"12MW from renewable fuels include wood waste, food and agricultural waste, municipal solid waste, agricultural waste",-32.371267,150.97757
283,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,281,Mt Piper,Operational,Delta,Steam Subcritical,Coal,Black Coal,1400,2,Blackmans Flat,New South Wales,5,20121109,1.2MW from renewable fuels including wood waste and municipal solid waste,-33.35889223,150.0313223
284,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,282,Munmorah,Operational,Delta Electricity,Steam Subcritical,Coal,Black Coal,600,2,Colongra,New South Wales,5,20121109,,-33.211691,151.541837
285,Power Station,A facility used for the generation of electrical power for distribution,Renewable,283,Nymboida,Operational,Essential Energy,Hydroelectric (Gravity),Water,,33.6,7,Nymboida,New South Wales,5,20121109,,-29.925738,152.741708
286,Power Station,A facility used for the generation of electrical power for distribution,Renewable,284,Oaky,Operational,Essential Energy,Hydroelectric (Gravity),Water,,4.8,5,Wollomombi,New South Wales,5,20121109,,-30.575119,152.06897
287,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,285,Redbank,Operational,Biogreen Energy Pty Limited,Steam Subcritical,Coal,Coal Tailings - BDT Fuel,150,1,Warkworth,New South Wales,5,20180611,,-32.580206,151.071936
288,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,286,Smithfield Energy,Operational,Marubeni Australia Power Services,Combined Cycle Gas Turbine,Natural Gas,,170.9,3,Smithfield,New South Wales,5,20121109,"Generating Units 3x38, 1x62",-33.85004,150.949466
289,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,287,Tahmoor,Operational,EnviroGen Pty Ltd,Reciprocating Engine,Coal Seam Methane,Gas,7,7,Bargo,New South Wales,5,20180611,,-34.248233,150.58077
290,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,288,Tallawarra,Operational,TRUenergy,Combined Cycle Gas Turbine,Natural Gas,,460,1,Yallah,New South Wales,5,20161105,,-34.522778,150.808056
291,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,289,Teralba,Operational,EnviroGen Pty Ltd,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,3,4,Teralba,New South Wales,5,20161105,,-32.94549,151.611907
292,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,290,Tomago Aluminium Smelter,Operational,Tomago Aluminium,,Natural Gas,,810,3,Tomago,New South Wales,5,20170604,,-32.82165122,151.7178091
293,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,291,Tower Mine,Operational,Energy Developments Ltd,Reciprocating Engine,Coal Seam Methane,,41.2,40,Douglas Park,New South Wales,5,20121109,,-34.220692,150.717941
294,Power Station,A facility used for the generation of electrical power for distribution,Renewable,292,Tumut 1 (Upper Tumut),Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,616,4,Cabramurra,New South Wales,2,20161105,,-35.951729,148.36371
295,Power Station,A facility used for the generation of electrical power for distribution,Renewable,293,Tumut 2 (Upper Tumut),Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,336,4,Cabramurra,New South Wales,3,20161105,Underground,-35.8813841,148.3672174
296,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,294,Uranquinty,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,664,4,Uranquinty,New South Wales,5,20121109,,-35.179395,147.215692
297,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,295,Vales Point B,Operational,Delta Electricity,Steam Subcritical,Coal,Black Coal,1360,2,Mannering Park,New South Wales,5,20161105,7.2MW from renewable fuels including wood waste and municipal solid waste,-33.160745,151.543146
298,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,296,Wallerawang C,Operational,TRUenergy,Steam Subcritical,Coal,Black Coal,500,2,Wallerawang,New South Wales,5,20161105,5.5MW from renewable fuels including wood waste and municipal solid waste,-33.40282363,150.083345
299,Power Station,A facility used for the generation of electrical power for distribution,Renewable,297,Warragamba,Operational,Eraring Energy,Hydroelectric (Gravity),Water,,50,1,Warragamba,New South Wales,4,20121109,,-33.88324223,150.5965406
300,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,298,West Illawarra Leagues Club,Operational,West Illawarra Leagues Club,Compression Reciprocating Engine,Distillate,,1,,Unanderra,New South Wales,5,20121109,,-34.451537,150.842907
301,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,299,Western Suburbs Leagues Club (Campbelltown),Operational,Western Suburbs Leagues Club (Campbelltown),,Distillate,,1,,Leumeah,New South Wales,5,20161105,,-34.051326,150.83286
302,Power Station,A facility used for the generation of electrical power for distribution,Renewable,300,Burrendong,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,19,1,Yarragal,New South Wales,5,20161105,,-32.664616,149.107986
303,Power Station,A facility used for the generation of electrical power for distribution,Renewable,301,Copeton,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,24,1,Copeton,New South Wales,5,20161105,,-29.910198,150.923462
304,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,302,Wilga Park,Operational,Santos,Reciprocating Engine,Coal Seam Methane,,16,11,Bohena Creek,New South Wales,5,20180611,,-30.363437,149.677153
305,Power Station,A facility used for the generation of electrical power for distribution,Renewable,303,Guthega,Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,80,2,Kosciuszko National Park,New South Wales,5,20161105,,-36.350098,148.413528
306,Power Station,A facility used for the generation of electrical power for distribution,Renewable,304,Lake Keepit,Operational,Country Energy,Hydroelectric (Gravity),Water,,6.5,1,Keepit,New South Wales,4,20121109,,-30.879189,150.491399
307,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,305,Broken Hill,Operational,Essential Energy,Open Cycle Gas Turbine,Natural Gas,,50,2,Broken Hill,New South Wales,4,20121109,,-31.986296,141.420334
308,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,306,Eraring,Operational,Origin Energy,Steam Subcritical,Coal,Black Coal,2880,4,Eraring,New South Wales,5,20161105,"1 Stack, H 200m, concrete. Each gen con to pair of stepup trans",-33.06207492,151.5206479
309,Power Station,A facility used for the generation of electrical power for distribution,Renewable,308,Maryvale Mill,Operational,Australian Paper,,Biomass,Black Liquor,54.5,,Maryvale,Victoria,4,20121109,"Point placed at centre of mill, not sure where power station is on the site.  Figure for generation MW may be questionable",-38.18089277,146.4479463
310,Power Station,A facility used for the generation of electrical power for distribution,Renewable,309,Grasmere Wind Farm (Albany stage II),Operational,Verve Energy,Wind Turbine,Wind,,13.8,6,,Western Australia,5,20130509,Second stage of Albany Wind Farm,-35.05065052,117.7637609
311,Power Station,A facility used for the generation of electrical power for distribution,Renewable,310,Tully Sugar Mill,Operational,COFCO,Steam Subcritical,Biomass,Bagasse,21.4,,Tully,Queensland,4,20121109,Point placed in middle of Tully Sugar Mill.  Exact location of power station within the mill site is unknown.  Generation MW could not be confirmed from imagery,-17.93731765,145.9266525
312,Power Station,A facility used for the generation of electrical power for distribution,Renewable,311,Proserpine Sugar Mill,Operational,Sucrogen,Cogeneration,Biomass,Bagasse,17,4,Proserpine,Queensland,4,20180611,"Point placed in middle of mill, exact location of power station within the mill site unknown.  Generation capacity figure not confirmed",-20.39854476,148.5797163
313,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,312,North Sydney,Operational,Cogent Energy,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,1,North Sydney,New South Wales,5,20121109,,-33.83838156,151.2053942
314,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,313,Sydney,Operational,Cogent Energy,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,1,Sydney,New South Wales,5,20121109,,-33.871547,151.2091
315,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,314,North Sydney,Operational,Cogent Energy,Spark Ignition Reciprocating Engine,Natural Gas,,2.4,2,North Sydney,New South Wales,5,20121109,,-33.83981189,151.2069282
316,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,315,Blackmores,Operational,Cogent Energy,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,2,Warriewood,New South Wales,4,20121109,"Point on facility, not sure of exact location of the generators",-33.67777003,151.2908047
317,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,316,Nine Network,Operational,Nine Network,Compression Reciprocating Engine,Distillate,,3.2,,Willoughby,New South Wales,4,20121109,"Point is on the Network building, don't know exact location of generator with facility",-33.81096413,151.1966227
318,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,317,Revesby Workers Club,Operational,Revesby Workers Club,Compression Reciprocating Engine,Distillate,,2.5,1,Revesby,New South Wales,4,20121109,"Point on facility, don't know exact location of generator",-33.95343975,151.0137332
319,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,318,St George Leagues Club,Operational,St George Leagues Club,Compression Reciprocating Engine,Distillate,,1,1,Kogarah,New South Wales,4,20161105,"Point on facility, don't know exact location of generator",-33.97481738,151.129381
320,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,319,University of New South Wales,Operational,Cogent Energy,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,1,Kensington,New South Wales,4,20121109,"Point on Lowy Cancer Research Centre building, don't know exact location of generator on building site",-33.91670428,151.2353527
321,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,320,Norseman Mine,Operational,,,Distillate,,9,,Norseman,Western Australia,3,20130709,Power station location needs to be confirmed with better imagery,-32.1962648,121.7943338
322,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,321,Darlot Gold Mine,Operational,Barrick Gold,,Natural Gas,Liquefied Natural Gas,11.7,,,Western Australia,5,20130709,,-27.89720716,121.2697661
323,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,322,Windimurra Vanadium Mine,Operational,Atlantic Ltd,,Natural Gas,,23.7,7,,Western Australia,5,20130709,,-28.29331302,118.537147
324,Power Station,A facility used for the generation of electrical power for distribution,Renewable,323,Rottnest Island Wind Turbine,Operational,Verve Energy,Wind Turbine,Wind,,0.6,1,Rottnest Island,Western Australia,5,20130709,There is also a backup diesel generator but couldn't find it,-31.99375199,115.5289139
325,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,324,Cloudbreak,Operational,Contract Power,,Distillate,,44,18,Mulga Downs,Western Australia,5,20171105,,-22.32471027,119.404017
326,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,325,Port Hedland,Operational,Alinta Energy,,Natural Gas,,84,2,Boodarie,Western Australia,5,20130809,,-20.37817896,118.5383743
327,Power Station,A facility used for the generation of electrical power for distribution,Renewable,326,Noranda,Operational,LMS Energy Generation Pty Ltd,,Biogas,Landfill Methane,1.1,1,Noranda,Western Australia,5,20130609,,-31.8653894,115.8773271
328,Power Station,A facility used for the generation of electrical power for distribution,Renewable,327,Red Hill,Operational,Landfill Gas and Power Pty Ltd,,Biogas,Landfill Methane,3.65,4,Red Hill,Western Australia,5,20130609,,-31.83165058,116.0992397
329,Power Station,A facility used for the generation of electrical power for distribution,Renewable,328,Shenton Park WMRC Project,Operational,AnaeCo Ltd,,Biogas,Municipal & Industrial Solid Waste,1,,Shenton Park,Western Australia,5,20171105,,-31.95766666,115.7924435
330,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,329,Kalamunda,Operational,Landfill Gas and Power Pty Ltd,,Distillate,,1.3,1,Kalamunda,Western Australia,5,20130609,Landfill gas generators were decommissioned July 2010. Site now contains a standby diesel generator,-31.97677862,115.9987933
331,Power Station,A facility used for the generation of electrical power for distribution,Renewable,330,Canning Vale,Operational,Landfill Gas and Power Pty Ltd,,Biogas,Landfill Methane,4,1,Canning Vale,Western Australia,5,20171105,,-32.07389875,115.8914057
332,Power Station,A facility used for the generation of electrical power for distribution,Renewable,331,Gosnells,Operational,AGL Energy Pty Ltd,,Biogas,Landfill Methane,1.1,1,Gosnells,Western Australia,5,20130609,,-32.02275096,116.0128715
333,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,332,KRC Cogeneration Plant,Operational,AGL,Steam Subcritical,Natural Gas,,4.2,,Hemmant,Queensland,3,20130209,"Point on facility, don't know exact location of generator",-27.44526681,153.1184669
334,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,333,Melbourne,Operational,Cogent Energy,Spark Ignition Reciprocating Engine,Natural Gas,,1.2,1,Melbourne,Victoria,5,20121109,,-37.808596,144.9684801
335,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,334,Carlton,Operational,Cogent Energy,Compression Reciprocating Engine,Natural Gas,,0.4,1,Carlton,Victoria,5,20121109,<Null>,-37.80611823,144.9606501
336,Power Station,A facility used for the generation of electrical power for distribution,Renewable,335,Eildon Small Hydro,Operational,Pacific Hydro Investments Pty Ltd,Hydroelectric (Gravity),Water,,5,1,Eildon,Victoria,5,20161105,,-37.24307176,145.8974099
337,Power Station,A facility used for the generation of electrical power for distribution,Renewable,336,Corio,Operational,EDL LFG Vic Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,Corio,Victoria,5,20121109,,-38.05865888,144.4055757
338,Power Station,A facility used for the generation of electrical power for distribution,Renewable,337,South East Water Hallam Plant,Operational,South East Water,Hydroelectric (Gravity),Water,,0.25,1,,Victoria,1,20161105,"Location unknown, point placed in middle of Hallam",-38.02317811,145.2781215
339,Power Station,A facility used for the generation of electrical power for distribution,Renewable,338,Lower Rubicon,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,13.55,1,,Victoria,5,20121109,,-37.30272459,145.8457752
340,Power Station,A facility used for the generation of electrical power for distribution,Renewable,339,Royston,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,0.9,1,,Victoria,5,20121109,,-37.37392068,145.8645268
341,Power Station,A facility used for the generation of electrical power for distribution,Renewable,340,Rubicon Falls,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,0.3,1,,Victoria,5,20121109,,-37.34008663,145.8476787
342,Power Station,A facility used for the generation of electrical power for distribution,Renewable,341,Leonards Hill,Operational,Hepburn Community Wind Park Co-operative Ltd,Wind Turbine,Wind,,4.1,2,Leonards Hill,Victoria,5,20121109,,-37.42713575,144.122153
343,Power Station,A facility used for the generation of electrical power for distribution,Renewable,342,Box Hill,Proposed,AGL Energy,Wind Turbine,Wind,,25,,Armidale,New South Wales,1,20170604,Location estimated from  NewEngland Wind Coop Wind Farm website,-30.49941067,151.6838899
344,Power Station,A facility used for the generation of electrical power for distribution,Renewable,343,Highbury,Operational,EDL LFG SA Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2,1,Highbury,South Australia,5,20161105,,-34.84902902,138.7202836
345,Power Station,A facility used for the generation of electrical power for distribution,Renewable,344,Tea Tree Gully,Operational,EDL LFG SA Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,St Agnes,South Australia,5,20130209,,-34.83032707,138.712851
346,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,345,Port Stanvac,Operational,Infratil Energy Australia Pty Ltd,Compression Reciprocating Engine,Distillate,,57.6,36,Lonsdale,South Australia,5,20130209,Built on the old site of Lonsdale PS. Peaking power station,-35.11039534,138.4914591
347,Power Station,A facility used for the generation of electrical power for distribution,Renewable,346,Maryborough,Operational,MSF Sugar,Steam Super Critical,Biomass,Bagasse,7.5,,Maryborough,Queensland,4,20130209,"Point on facility, don't know exact location of generator",-25.54758801,152.7170961
348,Power Station,A facility used for the generation of electrical power for distribution,Renewable,347,Stapylton Green Energy,Operational,Stapylton Green Energy,Steam Subcritical,Biomass,Wood Waste,4.8,,Stapylton,Queensland,4,20130209,"Not sure if location is correct, imagery not sharp enough.  Definitely the right landfill.",-27.73344896,153.2463026
349,Power Station,A facility used for the generation of electrical power for distribution,Renewable,348,Bremer Bay Wind Turbine,Operational,Verve Energy,Wind Turbine,Wind,,0.6,1,Bremer Bay,Western Australia,5,20130509,,-34.39900715,119.3914814
